book,chapter,verse,text
Ecclesiasticus,2,26,"Put your neck under the yoke, and let your being receive instruction; She is found to be close at hand."
Ecclesiasticus,2,27,"See with your eyes, how I have only little labour, And have received much rest."
Ecclesiasticus,2,28,"Acquire learning with a great sum of silver, And get much gold by her."
Ecclesiasticus,2,29,"Let your being rejoice in His kindness, And do not be ashamed of His praise."
Ecclesiasticus,2,30,"Work your work early, And in His time He shall give you your reward."
Judith,1,1,"In the twelfth year of the reign of Neḇuḵaḏnetstsar, who reigned in Ninewĕh, the great city; in the days of Arpaḵshaḏ, who reigned over the Maḏites in Aḥmetha, 2 and in Aḥmetha built walls round about of stones hewn three ammah wide and six ammah long, and made the height of the wall seventy ammah, and the breadth of it fifty ammah, 3 and put its towers upon its gates a hundred ammah high, and its breadth in the foundation sixty ammah. 4 And he made its gates, even gates that were raised to the height of seventy ammah, and the breadth of them was forty ammah, for the going forth of his mighty armies, and for the formation of his footmen. 5 Also in those days, sovereign Neḇuḵaḏnetstsar fought against overeign Arpaḵshaḏ in the great plain, which is the plain in the borders of Rhaḡes. 6 And all those who dwelt in the hill country, and all who dwelt by Perath came to him, and Ḥiddeqel and Hudaspĕs, and the plain of Aryoḵ the sovereign of the Ĕylamites, and very many nations of the sons of Kasdim, assembled themselves to the battle. 7 Then Neḇuḵaḏnetstsar sovereign of Ashshur sent to all who dwelt in Paras, and to all who dwelt westward, and to those who dwelt in Kilikia, and Dammeseq, and Leḇanon, and opposite Leḇanon, and to all who dwelt on the seacoast, 8 and to those among the nations that were of Karmel, and Gil’aḏ, and the higher Galil, and the great Valley of Yizre’ĕl, 9 and to all that were in Shomeron and its cities, and beyond the Yardĕn to Yerushalayim, and Bĕyth Anun, and Ḥĕlets, and Qaḏĕsh, and the River of Mitsrayim, YAHUḎITH 1220 and Taḥpenĕs, and Ra’amses, and all the land of Goshen,"
Judith,1,10,"until you come beyond Tso’an and Noph, and to all the inhabitants of Mitsrayim, until you come to the borders of Kush."
Judith,1,11,"But all the inhabitants of the land disregarded the command of Neḇuḵaḏnetstsar sovereign of Ashshur, neither went with him to battle, for they were not afraid of him. Indeed, he was before them as one man, and they sent away his ambassadors from them without effect, and with shame."
Judith,1,12,"Therefore Neḇuḵaḏnetstsar was very wroth with all this land, and swore by his throne and reign, that he would surely be avenged upon all those coasts of Kilikia, and Dammeseq, and Aram, and that he would slay all the inhabitants of the land of Mo’aḇ with the sword, and the children of Ammon, and all Yahuḏah, and all who were in Mitsrayim, till you come to the borders of the two seas."
Judith,1,13,"Then he marched in battle array with his strength against sovereign Arpaḵshaḏ in the seventeenth year, and he prevailed in his battle; for he overthrew all the strength of Arpaḵshaḏ, and all his horsemen, and all his chariots."
Judith,1,14,"And became master of his cities, and came to Aḥmetha, and took the towers, and plundered its streets, and turned its pleasantness into shame."
Judith,1,15,"He also took Arpaḵshaḏ in the mountains of Rhaḡes, and smote him through with his arrows, and utterly destroyed him that day."
Judith,1,16,"So afterward he returned to Ninewĕh, both he and all his army of assorted nations - being a very great number of men of battle - and there he took his ease, and feasted, both he and his army, a hundred and twenty days. JUDITH 1221"
Judith,1,2,"And in the eighteenth year, the twenty-second day of the first month, it was spoken in the house of Neḇuḵaḏnetstsar sovereign of Ashshur that he should, as he said, avenge himself on all the earth. 2 So he called all his officers to him, and all his nobles, and spoke with them his secret counsel, and decided upon afflicting the whole earth out of his own mouth. 3 Then they decreed to destroy all flesh, that did not obey the command from his mouth. 4 And when he had ended his counsel, Neḇuḵaḏnetstsar sovereign of Ashshur called Holophernĕs the chief captain of his army, who was next to him, and said to him. 5 “Thus said the great sovereign, the master of the whole earth, ‘See, you shall go out from my presence, and take men with you that trust in their own strength: one hundred and twenty thousand footmen; and the number of twelve thousand horses with their riders. 6 ‘And you shall go against all the western land, because they disobeyed my command. 7 ‘And you shall declare to them that they prepare for me earth and water; for I shall go forth in my wrath against them and shall cover the whole face of the earth with the feet of my army, and I shall give them for a plunder, 8 so that their slain shall fill their valleys and wadis and the river shall be filled with their dead, till it overflows. 9 ‘And I shall lead them captive to the farthest parts of all the earth."
Judith,1,10,"‘You therefore shall go out beforehand and take for me all their coasts; and if they surrender themselves to you, you shall reserve them for me till the day of their punishment. YAHUḎITH 1222"
Judith,1,11,"‘But concerning those who rebel, do not let your eye spare them; but put them to the slaughter, and plunder them wherever you go."
Judith,1,12,"‘For as I live, and by the power of my reign, whatever I have spoken, that I shall do by my hand."
Judith,1,13,"‘And take heed that you transgress none of the commands of your master, but accomplish them fully, as I have commanded you, and do not delay to do them.’ ”"
Judith,1,14,"Then Holophernĕs went out from the presence of his master, and called all the governors and captains and the officers of the army of Ashshur;"
Judith,1,15,"and he mustered the chosen men for the battle, as his master had commanded him, to one hundred and twenty thousand, and twelve thousand mounted archers;"
Judith,1,16,"and he arranged them, as a great army is ordered for battle."
Judith,1,17,"And he took camels and donkeys for their supplies, a very great number; and sheep and oxen and goats without number for their provisions,"
Judith,1,18,"and plenty of food for every man of the army, and very much gold and silver out of the sovereign’s palace."
Judith,1,19,"Then he went forth and all his strength to go before sovereign Neḇuḵaḏnetstsar in the journey, and to cover all the face of the earth westward with their chariots and horsemen and their chosen footmen."
Judith,1,20,"A great number of various countries also came with them like locusts, and like the dust of the earth; for the crowd was without number."
Judith,1,21,"And they went forth from Ninewĕh three days’ journey toward the plain of Bĕktilĕth, and pitched from Bĕktilĕth near the mountain which is to the left hand of upper Kilikia. JUDITH 1223"
Judith,1,22,"Then he took all his army; his footmen and horsemen and chariots, and went from there into the hill country;"
Judith,1,23,"and destroyed Put and Luḏ, and plundered all the children of Rassis, and the Yishma’ĕlites, who were toward the wilderness to the south of the land of the Ḵelleans."
Judith,1,24,"Then he passed over Perath, and went through Aram Naharayim, and destroyed all the high cities that were on the River Aḇrona, till you come to the sea."
Judith,1,25,"And he took the borders of Kilikia, and killed all who resisted him, and came to the borders of Yepheth, which were toward the south, opposite Araḇia."
Judith,1,26,"He also surrounded all the children of Miḏian, and burned up their tents, and plundered their sheepfolds."
Judith,1,27,"Then he went down into the plain of Dammeseq in the time of wheat harvest, and burned up all their fields, and destroyed their flocks and herds, he also plundered their cities and utterly laid waste their lands and smote all their young men with the edge of the sword."
Judith,1,28,"Therefore the fear and dread of him fell upon all the inhabitants of the seacoasts who were in Tsor and Tsiḏon and those who dwelt in Sur and Okeyna, and all who dwelt in Yemna’an; and those who dwelt in Ashdoḏ and Ashqelon feared him greatly."
Judith,1,3,"So they sent ambassadors to him to entreat for peace, saying, 2 “See, we the servants of Neḇuḵaḏnetstsar the great sovereign lie before you; use us as is good in your eyes. 3 “Look, our houses and all our places and all our fields of wheat and flocks and herds, and all the camps of our tents lie before you; use them as it pleases you. YAHUḎITH 1224 4 “See, even our cities and their inhabitants are your servants; come and deal with them as seems good to you.” 5 So the men came to Holophernĕs, and spoke to him after this manner. 6 Then he came down toward the seacoast, both he and his army, and appointed garrisons in the high cities, and took chosen men out of them for help. 7 So they and all the country round about received them with flowers, with dances, and with timbrels. 8 But he broke down their pillars and cut down their Ashĕrim; for he had decreed to destroy all the mighty ones of the land, that all nations should worship Neḇuḵaḏnetstsar only, and that all tongues and tribes should call upon him as a mighty one. 9 He also came opposite Yizre’ĕl near Yahuḏah, opposite the great ridge of Yahuḏah."
Judith,1,10,"And he camped between Geḇa and Bĕyth She’an, and there he waited a whole month, that he might gather together all the supplies for his army."
Judith,1,4,"Now the children of Yisra’ĕl who dwelt in Yahuḏah, heard all that Holophernĕs the chief captain of Neḇuḵaḏnetstsar sovereign of Ashshur had done to the nations, and how he had plundered all their temples, and brought them to nought. 2 Therefore they were exceedingly afraid of him, and were troubled for Yerushalayim, and for the Hĕyḵal of HWHY their Elohim; 3 for they had recently returned from the captivity, and all the people of Yahuḏah were recently gathered together; and the utensils and the altar and the House were qadosh after they were defiled. 4 So they sent to all the coast of Shomeron, and Qonah and to Bĕyth Ḥoron, and Ba’al Mayim, and Yeriḥo, and to Ḥoḇah, and Ḥatsor, and to the valley of Shalĕm; JUDITH 1225 5 and took possession beforehand of all the tops of the high mountains, and strengthened the cities that were in them, and laid up food for the supply of battle; for their fields were recently reaped. 6 Also Yoyaqim the kohĕn ha’gadol, who was in Yerushalayim in those days, wrote to those who dwelt in Bĕyth Yulia, and Bĕyth Hornasthayim, which is opposite Yizre’ĕl toward the open country, near to Dothan, 7 commanding them to guard the passages of the hill country; for through them there was an entrance into Yahuḏah, and it was easy to stop those who would come up, because the passage was narrow - for two men at the most. 8 And the children of Yisra’ĕl did as Yoyaqim the kohĕn ha’gadol had commanded them, with the elders of all the people of Yisra’ĕl who dwelt at Yerushalayim. 9 Then every man of Yisra’ĕl cried to Elohim with great ardour, and they humbled their beings with great fervency;"
Judith,1,10,"both they and their wives and their children and their cattle and every stranger and hired man and their servants bought with money, and put sackcloth upon their loins."
Judith,1,11,"So every man and woman and the little children and the inhabitants of Yerushalayim, fell before the Hĕyḵal, and threw ashes upon their heads, and spread out their sackcloth before the face of HWHY; they also put sackcloth around the altar,"
Judith,1,12,"and cried to the Elohim of Yisra’ĕl all with one accord earnestly, that He would not give their children as prey and their wives as spoil and the cities of their inheritance to destruction and the Qodesh Place to defilement and reproach, and for the nations to rejoice at."
Judith,1,13,So Elohim heard their prayers and looked upon their afflictions; for the people fasted many days in all YAHUḎITH 1226 Yahuḏah and Yerushalayim before the Qodesh Place of HWHY Elohim.
Judith,1,14,"And Yoyaqim the kohĕn ha’gadol, and all the kohenim that stood before HWHY, and those who served before HWHY, had their loins girded with sackcloth and offered the daily burnt offerings with the vowed and voluntary offerings of the people,"
Judith,1,15,"and had ashes on their turbans, and cried unto HWHY with all their strength, that He would look upon all the house of Yisra’ĕl with favour."
Judith,1,5,"Then it was declared to Holophernĕs, the chief captain of the army of Ashshur, that the children of Yisra’ĕl had prepared for battle and had shut up the passages of the hill country and had fortified all the tops of the high hills and had laid obstructions in the plains, 2 with which he was very wroth, and called all the princes of Mo’aḇ and the captains of Ammon, and all the governors of the seacoast; 3 and he said to them, “Tell me now you sons of Kena’an, who these people are that dwell in the hill country; and what are the cities that they inhabit and what is the number of their army and in what is their power and strength and what sovereign is appointed over them or captain of their army, 4 and why have they determined not to come and meet me, more than all the inhabitants of the west?” 5 Then Aḵior, the captain of all the sons of Ammon said, “Let my master now hear a word from the mouth of your servant, and I shall declare to you the truth concerning these people who dwell near you and inhabit the hill countries; and no lie shall come out of the mouth of your servant. 6 “These people are descended from the Kasdim, JUDITH 1227 7 and they sojourned before in Aram Naharayim, because they would not follow the mighty ones of their fathers, who were in the land of Kasdim. 8 “For they left the way of their ancestors and worshipped the Elohim of the shamayim, the Elohim whom they knew. So they cast them out from the face of their mighty ones, and they fled into Aram Naharayim, and sojourned there many days. 9 “Then their Elohim Commanded them to depart from the place where they sojourned, and to go into the land of Kena’an; where they dwelt, and increased in gold and silver and with very much cattle."
Judith,1,10,"“But when a famine covered all the land of Kena’an, they went down into Mitsrayim, and sojourned there, while they were provided for, and became a great multitude there, so that none could number their nation."
Judith,1,11,"“Therefore the sovereign of Mitsrayim rose up against them, and dealt cunningly with them, and brought them low in making bricks, and made them slaves."
Judith,1,12,"“Then they cried out to their Elohim, and He smote all the land of Mitsrayim with incurable plagues; so the Mitsrites cast them out of their sight."
Judith,1,13,"“And Elohim dried the Sea of Reeds before them,"
Judith,1,14,"and brought them to Mount Sinai, and Qaḏĕsh Barnĕa, and cast out all who dwelt in the wilderness."
Judith,1,15,"“So they dwelt in the land of the Amorites, and they destroyed all those of Ḥeshbon by their strength, and passing over the Yardĕn they took possession of all the hill country."
Judith,1,16,"“And they cast out before them the Kena’anites, the Perizzites, the Yeḇusites, and the Sheḵemites, and all the Girgashites, and they dwelt in that land many days."
Judith,1,17,"“And while they did not sin before their Elohim, they prospered, because the Elohim who hates wickedness was with them. YAHUḎITH 1228"
Judith,1,18,"“But when they departed from the Way which He appointed them, they were destroyed in many heavy battles, and were led captives into a land that was not theirs, and the Hĕyḵal of their Elohim was cast down to the ground, and their cities were taken by their enemies."
Judith,1,19,"“But now they have returned to their Elohim and have come up from the places where they were scattered and have possessed Yerushalayim where their Qodesh Place is; and have settled in the hill country, for it was isolated."
Judith,1,20,"“Now therefore my master and governor, if there is any mistake against this people, and they sin against their Elohim, let us consider that this shall be their ruin, and let us go up, and we shall overcome them."
Judith,1,21,"“But if there is no wickedness in their nation, let my master now pass by, lest their Aḏon defend them, and their Elohim be for them, and we become a reproach before all the world.”"
Judith,1,22,"And when Aḵior had finished these words, all the people standing around the tent murmured, and the heads of Holophernĕs and all who dwelt by the seacoast and in Mo’aḇ, said that he should kill him."
Judith,1,23,"For they said, “We are not afraid of the face of the children of Yisra’ĕl! For see, they are a people who have no strength nor power for a mighty battle."
Judith,1,24,"“Now therefore master Holophernĕs, we shall go up and they shall be a prey to be devoured by your entire army!”"
Judith,1,6,"And when the uproar from the men that were around the council had ceased, Holophernĕs the chief captain of the army of Ashshur said to Aḵior and all the Mo’aḇites before all the company of other nations, 2 “And who are you Aḵior, and the hired men of Ephrayim, that you have prophesied this against us today, and have said that we should not go to battle JUDITH 1229 with the people of Yisra’ĕl because their Elohim shall defend them; and who is a mighty one but Neḇuḵaḏnetstsar? 3 “He shall send his power, and destroy them from the face of the earth, and their Elohim shall not deliver them! But we his servants shall destroy them as one man; for they are not able to sustain the might of our horses. 4 “For with them we shall trample them, and their mountains shall be drunk with their blood and their fields shall be filled with their dead bodies and their footprints shall not be able to stand before us, for they shall utterly perish, said sovereign Neḇuḵaḏnetstsar, master of all the earth! For he said, ‘None of my words shall come to naught.’ 5 “And you, Aḵior, a hired man of Ammon, who has spoken these words on the day of your punishment, shall see my face no more from this day until I take vengeance on this nation that came out of Mitsrayim. 6 “And then the sword of my army and the number of those who serve me shall pierce your sides, and you shall fall among their slain when I return. 7 “Now therefore my servants shall take you back into the hill country, and shall place you in one of the cities of the passages; 8 and you shall not perish, till you are destroyed with them. 9 “And if you persuade yourself in your mind that they shall be taken, do not let your face fall. I have spoken it, and none of my words shall come to naught.”"
Judith,1,10,"Then Holophernĕs commanded his servants who waited on his tent, to take Aḵior and bring him to Bĕyth Yulia, and deliver him into the hands of the children of Yisra’ĕl."
Judith,1,11,"So his servants took him, and brought him out of the camp into the plain, and they went from the midst YAHUḎITH 1230 of the plain into the hill country, and came to the springs below Bĕyth Yulia."
Judith,1,12,"And when the men of the city saw them, they took up their weapons and went out of the city to the top of the hill; and every man that used a sling kept them from coming up by slinging stones against them."
Judith,1,13,"However, having approached hidden below the hill, they bound Aḵior and threw him down and left him at the foot of the hill, and returned to their master."
Judith,1,14,"But the Yisra’ĕlites descended from their city, and came to him, and released him, and brought him to Bĕyth Yulia, and presented him to the governors of the city,"
Judith,1,15,"who in those days were: Uzziyah the son of Miḵah, of the tribe of Shim’on, and Ḥaḇriyah the son of Othni’ĕl, and Ḥeremyah the son of Malki’ĕl."
Judith,1,16,"And they called together all the elders of the city, and all their youth ran together and their women to the assembly, and they put Aḵior in the midst of all their people. Then Uzziyah asked him about what was done."
Judith,1,17,"And he answered and related to them the words of the council of Holophernĕs, and all the words that he had spoken in the midst of the princes of Ashshur, and all that Holophernĕs had spoken proudly against the house of Yisra’ĕl."
Judith,1,18,"Then the people fell down and worshipped Elohim, and cried out to Elohim saying,"
Judith,1,19,"“O HWHY Elohim of the shamayim! See their pride and show favour on our humble nation, and look upon the face of those that are qadosh to You this day.”"
Judith,1,20,"Then they comforted Aḵior, and praised him greatly."
Judith,1,21,"And Uzziyah took him out of the assembly to his house, and made a feast for the elders; and they called on the Elohim of Yisra’ĕl all that night for help. JUDITH 1231"
Judith,1,7,"The next day Holophernĕs commanded all his army and all his people who had come to take part, that they should remove their encampment against Bĕyth Yulia, to take the ascents of the hill country beforehand, and to fight against the children of Yisra’ĕl. 2 Then their mighty men removed their camps that day, and the army of the men of battle was one hundred and seventy thousand footmen and twelve thousand horsemen, besides the baggage and other footmen that were among them - a very great crowd. 3 And they camped in the valley near Bĕyth Yulia by the spring, and they spread themselves wide over Dothan even to Ba’al Mayim, and in length from Bĕyth Yulia to Yoqne’am, which is opposite Yizre’ĕl. 4 Now when the children of Yisra’ĕl saw the number of them, they were greatly troubled, and each one said to his neighbour, “Now these men shall lick up the face of the earth; for neither the high mountains nor the valleys nor the hills are able to bear their weight.” 5 Then every man took up his weapons of battle and when they had kindled fires on their towers, they remained and watched all that night. 6 But on the second day, Holophernĕs led out all his horsemen in the sight of the children of Yisra’ĕl who were in Bĕyth Yulia, 7 and scouted the ascents to the city and came to the springs of their waters and took them and placed garrisons of men of battle over them, and he himself returned to his army. 8 Then all the chiefs of the children of Ĕsaw came to him and all the governors of the people of Mo’aḇ and the captains of the seacoast and said, 9 “Let our master now hear a word, that there shall not be an overthrow of your army."
Judith,1,10,"“For this people of the children of Yisra’ĕl do not trust in their spears, but in the height of the mountains YAHUḎITH 1232 in which they dwell, because it is not easy to ascend to the tops of their mountains."
Judith,1,11,"“Now therefore, my master, do not fight against them in battle array, and not so much as one man of your army shall perish."
Judith,1,12,"“Remain in your camp and keep all the men of your army, and let your servants take possession of the spring of water which issues from the foot of the mountain,"
Judith,1,13,for all the inhabitants of Bĕyth Yulia get their water there; so thirst shall kill them and they shall give up their city. And we and our people shall go up to the tops of the mountains that are near and shall lay siege to them to watch that none go out of the city.
Judith,1,14,"“So they and their wives and their children shall be consumed with fire and before the sword comes against them, they shall be overthrown in the streets where they dwell."
Judith,1,15,"“Thus you shall render them an evil reward; because they rebelled, and did not meet you peaceably.”"
Judith,1,16,"And these words pleased Holophernĕs and all his servants, and he gave orders to do as they had spoken."
Judith,1,17,"So the camp of the children of Ammon departed and with them five thousand of Ashshur, and they encamped in the valley and seized the waters and the springs of water of the children of Yisra’ĕl."
Judith,1,18,"Then the children of Ĕsaw went up with the children of Ammon and encamped in the hill country opposite Dothan. And they sent some of them toward the south and toward the east opposite Aqrabbah, which is near Ḵusi which is on the wadi Moḵmur; and the rest of the army of Ashshur encamped in the plain, and covered the face of the whole land. And their tents and supply wagons were camped forming a very great crowd. JUDITH 1233"
Judith,1,19,"Then the children of Yisra’ĕl cried out to HWHY their Elohim, because their hearts failed, for all their enemies had surrounded them, and there was no way to escape from among them."
Judith,1,20,"So all the army of Ashshur surrounded them thirty- four days, both their footmen, chariots and horsemen, so that all the containers of water of the inhabitants of Bĕyth Yulia were empty."
Judith,1,21,And the cisterns were emptied and they had no water to drink their fill for one day; for they gave them drink by measure.
Judith,1,22,"Therefore their young children were disheartened, and their women and young men fainted for thirst and fell down in the streets of the city and by the passages of the gates, and there was no longer any strength in them."
Judith,1,23,"Then all the people assembled to Uzziyah and to the chief of the city, both young men and women and children, and cried with a loud voice, and said before all the elders,"
Judith,1,24,"“Elohim be judge between us and you; for you have done us great injury, in that you have not required peace from the children of Ashshur."
Judith,1,25,"“For now we have no helper; and Elohim has sold us into their hands, that we should be cast down before them with thirst and great destruction."
Judith,1,26,"“Now therefore summon them to you, and deliver the whole city for plunder to the men of Holophernĕs, and to all his army."
Judith,1,27,"“For it is better for us to be plundered by them, than to die for thirst; for we shall be his servants, that our beings may live and not see the death of our infants before our eyes, nor our wives nor our children die."
Judith,1,28,"“We take the shamayim and the earth to witness against you, and our Elohim and Aḏon of our fathers, who punishes us according to our sins and the sins of YAHUḎITH 1234 our fathers, that He does not do as we have said this day.”"
Judith,1,29,Then there was great weeping with one accord in the midst of the assembly; and they cried out to HWHY Elohim with a loud voice.
Judith,1,30,"Then Uzziyah said to them, “Brothers, be of good courage, let us yet endure five days, in which time HWHY our Elohim may turn His favour toward us; for He shall not utterly forsake us."
Judith,1,31,"“And if these days pass, and no help comes for us, I shall do according to your word.”"
Judith,1,32,"And he dispersed the people, each one to their own watch; and they went to the walls and towers of their city and sent the women and children into their houses; and in the city they were brought very low."
Judith,1,8,"Now at that time Yahuḏith heard of this, who was the daughter of Merari, the son of Utz, the son of Yosĕph, the son of Uzzi’ĕl, the son of Elkayah, the son of Ḥananyah, the son of Giḏ’on, the son of Repha’im, the son of Aḥituḇ, the son of Elihu, the son of Eliyaḇ, the son of Nethan’ĕl, the son of Shelumi’ĕl, the son of Tsurishaddai, the son of Yisra’ĕl. 2 And Menashsheh was her husband, of her tribe and relatives, who died in the barley harvest. 3 For as he stood overseeing those who bound sheaves in the field, the heat overcame his head, and he fell on his bed and died in the city of Bĕyth Yulia, and they buried him with his fathers in the field between Dothan and Ba’al Me’on. 4 So Yahuḏith was a widow in her house three years and four months. 5 And she made herself a tent on the top of her house, and put sackcloth on her loins and wore her widow’s garments. 6 And she fasted all the days of her widowhood, except the Shabbath, and evenings of the Shabbath, JUDITH 1235 and the new moons, and the evenings of the new moons and the Festivals and Appointed Times of the house of Yisra’ĕl. 7 She also had a lovely face, and very good-looking; and her husband Menashsheh had left her gold and silver, and male and female servants, and cattle and lands; and she maintained them. 8 And no one spoke evil of her; for she greatly revered Elohim. 9 Now when she heard the evil words of the people against the governor, when they fainted for lack of water; for Yahuḏith had heard all the words that Uzziyah had spoken to them, and that he had sworn to deliver the city to Ashshur after five days;"
Judith,1,10,"then she sent her female servant who governed all that she had, to call Uzziyah and Ḥaḇriyah and Ḥeremyah, the elders of the city."
Judith,1,11,"And they came to her, and she said to them, “Hear me now, you governors of the inhabitants of Bĕyth Yulia; for your words that you have spoken before the people this day are not right, regarding this oath which you made and pronounced between Elohim and you, and have promised to deliver the city to our enemies, unless HWHY turns to help you within these days."
Judith,1,12,"“And now who are you to try Elohim this day, and stand in place of Elohim among the children of men?"
Judith,1,13,"“And now, try HWHY Elohim, but you shall never know any matter."
Judith,1,14,"“For you cannot find the depth of the heart of man, neither can you perceive that which he thinks. How then can you search out Elohim, who has made all these, and know His mind, or understand His purpose? No my brothers! Do not provoke HWHY our Elohim to anger."
Judith,1,15,"“For if He does not help us within these five days, He has power to defend us when He desires, even every day, or to destroy us before our enemies. YAHUḎITH 1236"
Judith,1,16,"“Do not bind the counsel of HWHY our Elohim; for Elohim is not like mankind, that He could be threatened; neither is He like the son of man, that He should hesitate."
Judith,1,17,"“Therefore let us wait for deliverance from Him, and call upon Him to help us, and He shall hear our voice if it pleases Him."
Judith,1,18,"“For none has arisen in our age, neither is there any in these days neither tribe, nor family, nor people, nor city among us, who worship mighty ones made with hands, as it was before this;"
Judith,1,19,"for which cause our fathers were given to the sword, and for a spoil, and fell greatly before our enemies."
Judith,1,20,"“But we know no other mighty ones, therefore we trust that He shall not despise us, nor any of our nation."
Judith,1,21,"“For if we are captured, all Yahuḏah shall lie waste, and our Qodesh Place shall be plundered; and He shall require its defilement by our mouth."
Judith,1,22,"“And the slaughter of our brothers and the captivity of the country and the desolation of our inheritance, He shall turn upon our heads among the gentiles, wherever we are in bondage; and we shall be an insult and a reproach to all those who possess us."
Judith,1,23,“For our slavery shall not be directed to favour; but HWHY our Elohim shall turn it to dishonour.
Judith,1,24,"“Now therefore brothers, let us show an example to our brothers, because their hearts depend on us, and the Qodesh Place and the House and the altar rest upon us."
Judith,1,25,"“Moreover let us give thanks to HWHY our Elohim, who tries us, even as He did our fathers."
Judith,1,26,"“Remember what He did to Aḇraham, and how He tried Yitsḥaq, and what happened to Ya’aqoḇ in Aram Naharayim of Suria, when he kept the sheep of Laḇan his mother’s brother. JUDITH 1237"
Judith,1,27,"“For He has not tried us in the fire as He did them to search their hearts, neither has He taken vengeance upon us; but HWHY scourges those who come near to Him, to admonish them.”"
Judith,1,28,"Then Uzziyah said to her, “All that you have spoken you have spoken with a good heart, and there is none that would refute your words."
Judith,1,29,"“For this is not the first day in which your wisdom has been shown; but from the beginning of your days all the people have known your understanding, because the inclination of your heart is good."
Judith,1,30,"“But the people were very thirsty, and compelled us to do for them as we have spoken, and to bring an oath upon ourselves, which we are unable to break."
Judith,1,31,"“Therefore now pray for us, because you are a righteous woman, and HWHY shall send us rain to fill our cisterns, and we shall no longer be weary.”"
Judith,1,32,"Then Yahuḏith said to them, “Hear me, and I shall do that which shall go throughout all generations to the children of our nation."
Judith,1,33,"“Tonight you shall stand in the gate, and I shall go out with my female servant; and within the days that you have promised to deliver the city to our enemies HWHY shall visit Yisra’ĕl by my hand."
Judith,1,34,"“But do not ask about my actions, for I shall not declare it to you, till that which I do is completed.”"
Judith,1,35,"Then Uzziyah and the rulers said to her, “Go in peace, and HWHY Elohim go before you, to take vengeance on our enemies.”"
Judith,1,36,"So they returned from the tent, and went to their watches."
Judith,1,9,"Then Yahuḏith fell on her face, and put ashes on her head, and uncovered the sackcloth with which she was clothed; and about the time that the incense of that evening was offered in Yerushalayim in the House of HWHY, Yahuḏith cried with a loud voice and said, YAHUḎITH 1238 2 “O HWHY Elohim of my father Shim’on, to whom you gave a sword to take vengeance on the foreigners who loosened the girdle of a maiden to defile her and uncovered the thigh to her reproach and polluted her maidenhood to put her to shame; for You said, ‘It shall not be so.’ And yet they did so. 3 “Therefore You gave their rulers to be slain, so that they stained their bed with blood, being deceived and smote the servants with their masters, and the masters on their thrones; 4 and have given their wives for a prey and their daughters to be captives and all their plunder to be divided among Your dear children; who were moved with Your ardour, and abhorred the defilement of their blood, and called upon You for help. O Elohim, O my Elohim, hear me also a widow! 5 “For You have not only done these, but also that which came to be before, and which came to be after; You have thought upon the matters that are now, and those that are to come. 6 “Even those that You determined to be ready at hand and said, ‘See, we are here.’ For all Your ways are prepared and Your judgments are in Your foreknowledge. 7 “For look, Ashshur have multiplied in their power; they are exalted with horse and man; they boast in the strength of their footmen; they trust in shield and spear and bow and sling, and do not know that You are HWHY who breaks the battles. HWHY is Your Name! 8 “Cast down their strength in Your power, and bring down their might in Your wrath; for they have planned to defile Your Qodesh Place and to pollute the Dwelling Place where Your great Name rests, and to cast down the horn of Your altar with the sword. 9 “See their pride, and send Your wrath upon their heads! Give into my hand, who is a widow, the strength to do what I have planned. JUDITH 1239"
Judith,1,10,"“By the deceit of my lips smite the servant with the prince, and the prince with the servant. Break down their pride by the hand of a woman,"
Judith,1,11,"for Your power does not stand in numbers nor Your strength in mighty men; for You are an Elohim of the afflicted, a Helper of the helpless, an Upholder of the weak, a Protector of the oppressed, a Saviour of those who are without expectancy."
Judith,1,12,"“Please, please, O Elohim of my father and Elohim of the inheritance of Yisra’ĕl, Aḏon of the shamayim and earth, Creator of the waters, Sovereign of all creation, hear my prayer,"
Judith,1,13,"and make my words and deception to be their wound and smiting, who have planned violence against Your Covenant, and Your qodesh House, and against Mount Tsiyon, and against the house of the possession of Your children."
Judith,1,14,"“And make every nation and tribe to acknowledge that You are the Elohim of all power and might, and that there is none other who protects the people of Yisra’ĕl but You!”"
Judith,1,10,"Now after she had ceased crying out to the Elohim of Yisra’ĕl, and had made an end of all these words, 2 she rose from where she had fallen and called her female servant, and went down to the house in which she stayed on the Shabbath days, and on her Feast days, 3 and pulled off the sackcloth which she wore and took off the garments of her widowhood and washed her body all over with water and anointed herself with precious oil and braided the hair of her head and put on a head-dress and put on her festival garments with which she was dressed during the life of Menashsheh her husband. 4 And she put sandals on her feet, and put on her bracelets, and her chains, and her rings, and her YAHUḎITH 1240 earrings, and all her ornaments, and adorned herself splendidly, to allure the eyes of all men that should see her. 5 Then she gave her female servant a bottle of wine and a flask of oil and a bag filled with roasted grain and cakes of figs and with fine bread; so she wrapped all these together, and laid them upon her. 6 So they went out to the gate of the city of Bĕyth Yulia, and found Uzziyah and the elders of the city, Ḥaḇriyah and Ḥeremyah standing there. 7 And when they saw her, that her face was changed, and her garments were changed, they marvelled greatly at her loveliness, and said to her, 8 “HWHY, the Elohim of our fathers give you favour and accomplish Your purposes to the esteem of the children of Yisra’ĕl and to the exaltation of Yerushalayim.” Then they worshipped Elohim. 9 And she said to them, “Command the gates of the city to be opened for me, that I may go out to accomplish that which you have spoken with me.” So they commanded the young men to open for her as she had spoken."
